8:32 PM - 7 Dec 2015|Happiest see uuuuuu|84|96
6:51 PM - 6 Dec 2015|everyone safe|1|2
6:48 PM - 6 Dec 2015|world messed hurts heart|9|4
2:19 PM - 5 Dec 2015|Family goals pic twitter com uU2rc1WMpv|6|24
2:59 PM - 4 Dec 2015|The Jedi Sith Codes pic twitter com teWLyxJPHr|829|1K
9:45 AM - 4 Dec 2015|The order assembling Two weeks #StarWars #TheForceAwakens pic twitter com Xsv1N8K0zZ|5.5K|5.3K
9:01 PM - 2 Dec 2015|'BATMAN V SUPERMAN' Trailer Released RETWEET http bit ly 1OHpQ4s pic twitter com HkRjoHyjra|8.4K|4K
8:32 PM - 2 Dec 2015|Wherever I'm happiest place Earth pic twitter com pVN7pPyLuw|3|24
9:53 PM - 1 Dec 2015|people act like new year magical restart button want change|8|16
12:13 AM - 1 Dec 2015|STAR WARS MONTH YEE BUDDY|1|5
1:02 PM - 26 Nov 2015|rt know sign pic twitter com XouBwAwVtm|2.7K|1.8K
8:23 PM - 28 Nov 2015|many places I want travel future|5|5
8:06 AM - 26 Nov 2015|I hope everyone amazing day today pic twitter com nJZTagCxoS|8|9
10:04 PM - 24 Nov 2015|try|2|1
9:30 PM - 24 Nov 2015|You supposed destroy sith join Bring balance force shroud darkness https twitter com jordynee_ status 669386453751717888|2|3
11:58 AM - 24 Nov 2015|I miss Disneyland much|8|1
10:00 AM - 24 Nov 2015|Busy #Zootopia couldn't let #Tangled's 5th bday go w drawing I loved working film pic twitter com 5fOfaFlg9T|1.2K|3.2K
10:11 PM - 21 Nov 2015|I Disneyland pic twitter com 3ItMkVdQF9|4|14
10:45 AM - 21 Nov 2015|15 years ago today I born #15 #happybirthdaytome pic twitter com QK3kEBVuzi|5|11
9:51 PM - 20 Nov 2015|I'm tired I don't know I'm saying anymore|2|1
8:13 PM - 18 Nov 2015|How amazing father https amp twimg com v d2190d0d-1860-47ae-8008-6fe03f78670b|22K|37K
12:40 PM - 14 Nov 2015|Santiago's first color run thanks everyone made quite colorful morning pic twitter com IeYLr5Zke5|15|46
12:37 PM - 16 Nov 2015|@SharkPrincipal - Final product Best principal ever @CNUSD pic twitter com 93xjkWM68M|60|86
8:10 AM - 14 Nov 2015|Santiago's 1st Annual Color Run Adventure Lifetime pic twitter com Dx1X4YEYF7|9|15
10:27 AM - 14 Nov 2015|could happier life|9|3
4:34 PM - 14 Nov 2015|Life bit colorful today #colorrun2k15 pic twitter com 0DutzsGKF8|8|36
9:24 AM - 14 Nov 2015|MY FAVORITE COLOR RUNNER WAS THE DOG|8|15
11:03 AM - 14 Nov 2015|I love school #shsthebite pic twitter com 4oKVsmort7|5|20
6:19 AM - 14 Nov 2015|city light goes dark rest world lights pic twitter com O2EYsM7GBa|2K|1.9K
